country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,37325.04,37262.35,36977.31,37418.15,37703.88,39143.15,40473.52,40989.44,38784.44,40428.69,42692.51,42822.12,42914.53,43666.71,44043.21,44668.71,45462.04,45959.3,46172.61,46743.92
South Korea,21530.31,22997.09,23549.29,24605.6,25516.89,26696.97,28013.77,28588.45,28642.82,30352.02,31228.56,31776.86,32548.74,33425.61,34177.58,35020.39,35938.34,36776.58,37343.25,38016.79
United States,45662.81,46029.07,46940.89,48275.27,49512.95,50437.77,50897.78,50349.6,48644.24,49479.39,49883.17,50632.41,51208.83,52080.9,53187.45,53631.71,54470.72,55681.16,56657.21,57530.05
